[2025-10-14T23:12:27.121+0530][9.973s][info][gc,heap     ] GC(11) Humongous regions: 0->0
[2025-10-14T23:12:27.121+0530][9.973s][info][gc,metaspace] GC(11) Metaspace: 295K(448K)->295K(448K) NonClass: 279K(320K)->279K(320K) Class: 16K(128K)->16K(128K)
[2025-10-14T23:12:27.121+0530][9.973s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 306M->0M(512M) 2.399ms
[2025-10-14T23:12:27.121+0530][9.973s][info][gc,cpu      ] GC(11) User=0.00s Sys=0.00s Real=0.00s
[2025-10-14T23:12:28.475+0530][11.328s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:28.476+0530][11.328s][info][gc,task     ] GC(12) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:28.477+0530][11.330s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.22ms
[2025-10-14T23:12:28.477+0530][11.330s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.13ms
[2025-10-14T23:12:28.477+0530][11.330s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 0.89ms
[2025-10-14T23:12:28.477+0530][11.330s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.46ms
[2025-10-14T23:12:28.477+0530][11.330s][info][gc,phases   ] GC(12)   Other: 0.13ms
[2025-10-14T23:12:28.477+0530][11.330s][info][gc,heap     ] GC(12) Eden regions: 306->0(306)
[2025-10-14T23:12:28.477+0530][11.330s][info][gc,heap     ] GC(12) Survivor regions: 1->1(39)
[2025-10-14T23:12:28.477+0530][11.330s][info][gc,heap     ] GC(12) Old regions: 0->0
[2025-10-14T23:12:28.477+0530][11.330s][info][gc,heap     ] GC(12) Humongous regions: 0->0
[2025-10-14T23:12:28.477+0530][11.330s][info][gc,metaspace] GC(12) Metaspace: 295K(448K)->295K(448K) NonClass: 279K(320K)->279K(320K) Class: 16K(128K)->16K(128K)
[2025-10-14T23:12:28.477+0530][11.330s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 306M->0M(512M) 2.192ms
[2025-10-14T23:12:28.477+0530][11.330s][info][gc,cpu      ] GC(12) User=0.00s Sys=0.00s Real=0.00s
[2025-10-14T23:12:29.830+0530][12.683s][info][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:29.830+0530][12.683s][info][gc,task     ] GC(13) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:29.832+0530][12.685s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.21ms
[2025-10-14T23:12:29.832+0530][12.685s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.13ms
[2025-10-14T23:12:29.832+0530][12.685s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 1.16ms
[2025-10-14T23:12:29.832+0530][12.685s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 0.56ms
[2025-10-14T23:12:29.832+0530][12.685s][info][gc,phases   ] GC(13)   Other: 0.12ms
[2025-10-14T23:12:29.832+0530][12.685s][info][gc,heap     ] GC(13) Eden regions: 306->0(306)
[2025-10-14T23:12:29.832+0530][12.685s][info][gc,heap     ] GC(13) Survivor regions: 1->1(39)
[2025-10-14T23:12:29.832+0530][12.685s][info][gc,heap     ] GC(13) Old regions: 0->0
[2025-10-14T23:12:29.832+0530][12.685s][info][gc,heap     ] GC(13) Humongous regions: 0->0
[2025-10-14T23:12:29.832+0530][12.685s][info][gc,metaspace] GC(13) Metaspace: 295K(448K)->295K(448K) NonClass: 279K(320K)->279K(320K) Class: 16K(128K)->16K(128K)
[2025-10-14T23:12:29.832+0530][12.685s][info][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 306M->0M(512M) 2.461ms
[2025-10-14T23:12:29.832+0530][12.685s][info][gc,cpu      ] GC(13) User=0.00s Sys=0.00s Real=0.00s
[2025-10-14T23:12:31.173+0530][14.026s][info][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:31.173+0530][14.026s][info][gc,task     ] GC(14) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:31.175+0530][14.027s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.16ms
[2025-10-14T23:12:31.175+0530][14.028s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.11ms
[2025-10-14T23:12:31.175+0530][14.028s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 0.75ms
[2025-10-14T23:12:31.175+0530][14.028s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 0.41ms
[2025-10-14T23:12:31.175+0530][14.028s][info][gc,phases   ] GC(14)   Other: 0.10ms
[2025-10-14T23:12:31.175+0530][14.028s][info][gc,heap     ] GC(14) Eden regions: 306->0(306)
[2025-10-14T23:12:31.175+0530][14.028s][info][gc,heap     ] GC(14) Survivor regions: 1->1(39)
[2025-10-14T23:12:31.175+0530][14.028s][info][gc,heap     ] GC(14) Old regions: 0->0
[2025-10-14T23:12:31.175+0530][14.028s][info][gc,heap     ] GC(14) Humongous regions: 0->0
[2025-10-14T23:12:31.175+0530][14.028s][info][gc,metaspace] GC(14) Metaspace: 295K(448K)->295K(448K) NonClass: 279K(320K)->279K(320K) Class: 16K(128K)->16K(128K)
[2025-10-14T23:12:31.175+0530][14.028s][info][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 306M->0M(512M) 1.819ms
[2025-10-14T23:12:31.175+0530][14.028s][info][gc,cpu      ] GC(14) User=0.00s Sys=0.00s Real=0.00s
[2025-10-14T23:12:32.517+0530][15.370s][info][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:32.517+0530][15.370s][info][gc,task     ] GC(15) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:32.519+0530][15.372s][info][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.28ms
[2025-10-14T23:12:32.519+0530][15.372s][info][gc,phases   ] GC(15)   Merge Heap Roots: 0.18ms
[2025-10-14T23:12:32.519+0530][15.372s][info][gc,phases   ] GC(15)   Evacuate Collection Set: 0.86ms
